unit,nace_r2,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
MIO_EUR,C_LTC,PL	: 	145 	78 	60 	41 	: c	64 	51 	: c	: c	21 
MIO_EUR,C_LTC,PT	: 	: c	125 	: c	103 	101 	: c	: 	: 	: 	: 
MIO_EUR,C_LTC,RO	: 	13 	: c	: 	: 	5 c	: 	7 c	: 	: 	: 
MIO_EUR,C_LTC,SE	: 	: 	354 	: 	283 	: 	455 	: 	: c	: 	: 
MIO_EUR,C_LTC,SI	: 	22 	23 	23 	24 b	20 	17 	13 	: 	: 	: 
MIO_EUR,C_LTC,SK	: 	: cnn	: 	: 	: 	: 	: c	: c	: c	: c	1 
MIO_EUR,C_LTC,TR	: 	117 	111 	110 	96 	82 	83 	: 	: 	: 	: 
MIO_EUR,C_LTC,UK	: 	689 	662 	578 	559 	509 	450 	452 	563 	: 	: 
MIO_EUR,C_LTC_M,AT	: 	: 	: c	: 	: c	: 	: c	: 	: c	: c	: 
MIO_EUR,C_LTC_M,BE	: 	: 	413 	426 	403 	360 	325 	316 	: 	: 	: 
MIO_EUR,C_LTC_M,BG	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
MIO_EUR,C_LTC_M,CY	: 	1 	1 	0 	0 	1 	1 	1 	: 	: 	: 
MIO_EUR,C_LTC_M,CZ	: 	223 	199 	192 	182 	162 	136 	141 	137 	126 	101 
MIO_EUR,C_LTC_M,DE	: 	3401 	3261 	3221 	3184 	2964 	2984 	2809 	2691 	: 	: 
MIO_EUR,C_LTC_M,DK	: 	96 c	97 c	99 c	75 c	75 c	92 c	: 	: 	: 	: 
MIO_EUR,C_LTC_M,EE	: 	: c	: c	: c	: c	: c	4 	7 	: c	: 	: 
MIO_EUR,C_LTC_M,EL	: 	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 
MIO_EUR,C_LTC_M,ES	: 	403 	423 	441 	485 	460 	478 	552 	: 	: 	: 
MIO_EUR,C_LTC_M,FI	: 	171 c	196 c	207 c	213 c	219 c	210 c	: 	: 	: 	: 
MIO_EUR,C_LTC_M,FR	: 	: 	2293 	2301 	2163 	1887 	2140 c	1765 c	1678 c	: 	: 
MIO_EUR,C_LTC_M,HR	: 	3 	2 	1 	3 	5 	7 	: 	: 	: 	: 
MIO_EUR,C_LTC_M,HU	: 	49 c	50 c	53 c	31 c	29 	36 c	29 c	22 c	: c	: c
MIO_EUR,C_LTC_M,IE	: 	: 	: 	: 	51 	: c	: c	: 	: 	: 	: 
MIO_EUR,C_LTC_M,IS	7 	: 	: c	: 	2 bbbbeeee	: 	: 	: 	: 	: 	: 
MIO_EUR,C_LTC_M,IT	: 	919 	870 	829 	755 	773 	729 	820 	618 	: 	: 
MIO_EUR,C_LTC_M,LT	: 	5 	5 	2 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,C_LTC_M,LV	: 	: cccnn	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,C_LTC_M,MT	: 	1 	1 	1 	2 	2 	: c	: c	: 	: 	: 
MIO_EUR,C_LTC_M,NL	: 	529 	536 	513 b	412 b	: c	201 c	225 c	: 	: 	: 
MIO_EUR,C_LTC_M,NO	: 	: c	: c	: c	: c	: 	: c	: c	: 	: 	: 
MIO_EUR,C_LTC_M,PL	: 	173 c	: c	136 	98 	: c	50 c	53 	: c	: c	29 c
MIO_EUR,C_LTC_M,PT	: 	: c	87 c	: c	98 c	93 c	: c	: 	: 	: 	: 
MIO_EUR,C_LTC_M,RO	: 	: 	: 	: 	: 	7 	9 	13 	: 	: 	: 
MIO_EUR,C_LTC_M,SE	: 	: 	: c	: 	: c	: 	: c	: 	: c	: 	: 
